SectorID,Start,End,Duration
CO313,2020-37,2021-6,22
CO313,2021-8,2021-13,6
CO316,2020-48,2020-52,5
CO361,2020-46,2020-50,5
FL1,2020-50,2021-1,4
FL10,2018-4,2018-8,5
FL10,2018-52,2019-4,5
FL10,2019-17,2019-24,8
FL10,2019-26,2019-30,5
FL10,2020-8,2020-11,4
FL101,2021-7,2021-13,7
FL103,2018-51,2019-3,5
FL103,2019-7,2019-10,4
FL103,2019-49,2020-7,11
FL103,2020-9,2020-13,5
FL103,2020-15,2020-19,5
FL104,2020-4,2020-8,5
FL105,2018-1,2019-24,76
FL105,2019-26,2020-30,57
FL105,2020-32,2021-13,34
FL106,2020-29,2020-34,6
FL106,2021-10,2021-13,4
FL107,2018-1,2018-7,7
FL107,2018-15,2018-22,8
FL107,2018-26,2018-33,8
FL107,2018-41,2018-44,4
FL107,2018-52,2019-3,4
FL107,2019-20,2019-26,7
FL107,2019-28,2019-32,5
FL107,2020-7,2020-29,23
FL107,2020-31,2020-45,15
FL107,2020-47,2021-1,7
FL107,2021-3,2021-13,11
FL108,2018-2,2018-12,11
FL108,2018-14,2018-17,4
FL108,2018-19,2018-28,10
FL108,2018-30,2018-34,5
FL108,2019-24,2019-32,9
FL108,2019-36,2019-40,5
FL108,2019-42,2020-26,37
FL108,2020-29,2020-47,19
FL108,2020-49,2021-13,17
FL11,2019-19,2019-25,7
FL11,2019-27,2019-30,4
FL11,2020-24,2020-33,10
FL11,2020-49,2021-1,5
FL110,2019-43,2019-46,4
FL110,2019-52,2020-3,4
FL110,2020-15,2020-20,6
FL110,2020-22,2020-28,7
FL111,2018-18,2018-21,4
FL111,2019-36,2019-39,4
FL111,2019-41,2019-44,4
FL111,2020-31,2020-37,7
FL111,2020-39,2020-43,5
FL111,2021-2,2021-13,12
FL112,2019-38,2019-41,4
FL112,2020-1,2020-4,4
FL112,2020-21,2020-25,5
FL112,2020-27,2020-30,4
FL112,2020-34,2020-38,5
FL112,2020-40,2020-46,7
FL112,2020-48,2020-51,4
FL112,2021-3,2021-7,5
FL113,2019-52,2020-5,6
FL113,2020-7,2020-14,8
FL113,2020-20,2020-41,22
FL113,2020-43,2020-52,10
FL113,2021-7,2021-10,4
FL114,2018-1,2018-6,6
FL114,2018-8,2018-29,22
FL114,2019-28,2019-34,7
FL114,2019-36,2019-39,4
FL114,2019-41,2019-44,4
FL114,2020-1,2020-5,5
FL114,2020-7,2020-34,28
FL114,2020-36,2021-13,30
FL115,2018-39,2018-45,7
FL115,2020-24,2020-27,4
FL115,2020-29,2020-38,10
FL115,2020-40,2020-44,5
FL118,2018-1,2018-45,45
FL118,2018-47,2019-32,38
FL118,2019-39,2019-43,5
FL118,2019-47,2020-3,9
FL118,2020-7,2020-13,7
FL118,2020-15,2020-19,5
FL118,2020-21,2020-34,14
FL118,2020-50,2021-11,14
FL119,2018-1,2018-22,22
FL119,2018-27,2018-33,7
FL119,2018-48,2019-26,31
FL119,2019-31,2019-37,7
FL119,2019-52,2020-16,17
FL119,2020-18,2020-31,14
FL119,2021-3,2021-6,4
FL12,2021-9,2021-13,5
FL120,2018-1,2018-11,11
FL120,2018-14,2018-41,28
FL120,2018-43,2019-3,13
FL120,2019-5,2019-11,7
FL120,2019-13,2019-33,21
FL120,2020-3,2020-7,5
FL120,2020-17,2020-22,6
FL120,2020-24,2020-43,20
FL120,2020-51,2021-2,4
FL121,2018-1,2018-15,15
FL121,2018-17,2018-27,11
FL121,2018-32,2018-40,9
FL121,2018-42,2019-3,14
FL121,2019-5,2019-9,5
FL121,2019-11,2019-31,21
FL121,2019-33,2019-38,6
FL121,2019-48,2020-4,9
FL121,2020-38,2020-45,8
FL122,2018-18,2018-24,7
FL122,2018-26,2018-31,6
FL122,2018-50,2019-3,6
FL122,2019-18,2019-24,7
FL122,2019-26,2019-33,8
FL122,2020-7,2020-13,7
FL122,2020-15,2020-23,9
FL123,2020-51,2021-5,7
FL124,2018-26,2018-30,5
FL124,2019-51,2020-3,5
FL124,2020-41,2020-44,4
FL124,2020-47,2020-52,6
FL124,2021-2,2021-5,4
FL126,2020-50,2021-1,4
FL127,2019-19,2019-25,7
FL127,2020-31,2020-36,6
FL127,2021-2,2021-8,7
FL128,2018-1,2018-9,9
FL128,2018-11,2018-22,12
FL128,2018-29,2018-33,5
FL128,2018-39,2018-42,4
FL128,2018-47,2018-52,6
FL128,2019-25,2019-30,6
FL128,2020-4,2020-11,8
FL128,2020-41,2020-44,4
FL128,2020-46,2021-13,20
FL129,2018-4,2018-8,5
FL129,2018-12,2018-49,38
FL129,2019-3,2019-6,4
FL129,2019-16,2019-25,10
FL129,2019-27,2019-32,6
FL129,2019-42,2020-9,20
FL129,2020-15,2020-33,19
FL129,2020-45,2021-7,15
FL13,2018-1,2018-7,7
FL13,2018-9,2018-28,20
FL13,2018-34,2018-42,9
FL13,2018-44,2018-48,5
FL13,2018-50,2019-3,6
FL13,2019-11,2019-24,14
FL13,2019-26,2019-31,6
FL13,2019-40,2019-47,8
FL13,2020-20,2020-25,6
FL13,2020-31,2020-38,8
FL13,2020-42,2021-7,18
FL130,2018-1,2018-8,8
FL130,2018-13,2018-45,33
FL130,2019-43,2019-50,8
FL130,2019-52,2020-3,4
FL130,2020-25,2020-29,5
FL130,2020-33,2020-37,5
FL130,2021-10,2021-13,4
FL131,2018-2,2018-7,6
FL131,2018-43,2018-46,4
FL131,2018-48,2019-1,6
FL131,2019-24,2019-29,6
FL131,2020-3,2020-7,5
FL131,2020-21,2020-32,12
FL131,2020-36,2020-44,9
FL131,2020-52,2021-13,14
FL132,2018-6,2018-21,16
FL132,2018-23,2018-28,6
FL132,2018-37,2018-51,15
FL132,2019-12,2019-27,16
FL132,2019-29,2019-32,4
FL132,2019-40,2019-44,5
FL132,2019-52,2020-5,6
FL132,2020-12,2020-18,7
FL132,2020-20,2020-25,6
FL132,2020-27,2020-34,8
FL132,2021-4,2021-7,4
FL133,2018-3,2018-13,11
FL133,2018-22,2019-2,33
FL133,2019-4,2019-10,7
FL133,2019-12,2019-16,5
FL133,2019-18,2019-33,16
FL133,2019-49,2020-1,5
FL133,2020-3,2020-15,13
FL133,2020-17,2020-29,13
FL133,2020-33,2020-46,14
FL133,2021-3,2021-8,6
FL134,2018-22,2018-26,5
FL134,2018-45,2018-50,6
FL134,2020-19,2020-25,7
FL135,2018-26,2018-30,5
FL135,2018-39,2018-42,4
FL135,2019-14,2019-18,5
FL135,2019-24,2019-27,4
FL135,2019-49,2020-3,7
FL135,2020-9,2020-16,8
FL135,2020-27,2020-31,5
FL135,2020-36,2020-40,5
FL135,2021-2,2021-6,5
FL136,2019-4,2019-7,4
FL136,2019-11,2019-19,9
FL136,2019-25,2019-31,7
FL136,2019-42,2019-45,4
FL136,2019-51,2020-13,15
FL136,2020-49,2021-4,8
FL139,2018-28,2018-31,4
FL14,2018-1,2018-38,38
FL14,2018-40,2019-9,22
FL14,2019-17,2019-23,7
FL14,2019-25,2019-33,9
FL14,2019-43,2020-13,23
FL14,2020-15,2020-18,4
FL14,2020-23,2020-33,11
FL14,2020-35,2021-13,31
FL140,2019-14,2019-17,4
FL140,2019-51,2020-11,13
